,,,GGBS ,,,,,,,Fly Ash,,,,,,,Silica Fume,,,,,,,Na(OH) content and composition,,Na2SiO3 content and composition,Aggregates Composition,,,Ratio,,,,Curing Conditions,,,Sample Dimensions,,,Compressive Strength,
Paper_ID,Title,Mix_ID,GGBS_kg_m3,GGBS_CaO_%,GGBS_SiO2_%,GGBS_Al2O3_%,GGBS_MgO_%,GGBS_Fe2O3_%,GGBS_SO3_%,FlyAsh_kg_m3,FA_CaO_%,FA_SiO2_%,FA_Al2O3_%,FA_MgO_%,FA_Fe2O3_%,FA_SO3_%,SF_kg_m3,SF_CaO_%,SF_SiO2_%,SF_Al2O3_%,SF_MgO_%,SF_Fe2O3_%,SF_SO3_%,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,Total Na2SiO3 (kg in 1m3 of mix),Coarse Aggregate (kg/m3),Fine Aggregates (kg/m3),Water (kg/m3),Activator_Binder_Ratio,Water_Binder_Ratio,Superplasticizer_%,SiO2 to Na2O (silicate modulus),Curing_Temperature,Relative Humidity,Condition,Length (mm),Breadth (mm),height (mm),CS 7 day (Mpa),CS 28 day (Mpa)
http://dx.doi.org/10.28991/CEJ-2024-010-03-016,Evaluation of Alkali-Activated Mortar Incorporating Combined and Uncombined Fly Ash and GGBS Enhanced with Nano Alumina,M1,0,47.75,27.17,8.6,3.89,0.42,1.45,650,15.48,48.43,17.15,1.35,11.96,0.82,0,0,0,0,0,0,0,232.1,12,92.9,0,1040,,0.5,,0.64,2.5,23,60,Ambient,150,150,150,,29
,,M2,650,47.75,27.17,8.6,3.89,0.42,1.45,0,15.48,48.43,17.15,1.35,11.96,0.82,0,0,0,0,0,0,0,232.1,12,92.9,0,1040,,0.5,,0.64,2.5,23,60,Ambient,150,150,150,,40
,,M3,325,47.75,27.17,8.6,3.89,0.42,1.45,325,15.48,48.43,17.15,1.35,11.96,0.82,0,0,0,0,0,0,0,232.1,12,92.9,0,1040,,0.5,,0.64,2.5,23,60,Ambient,150,150,150,,45
,,M4,0,47.75,27.17,8.6,3.89,0.42,1.45,637,15.48,48.43,17.15,1.35,11.96,0.82,0,0,0,0,0,0,0,232.1,12,92.9,0,1040,,0.5,,0.64,2.5,23,60,Ambient,150,150,150,,48
,,M5,637,47.75,27.17,8.6,3.89,0.42,1.45,0,15.48,48.43,17.15,1.35,11.96,0.82,0,0,0,0,0,0,0,232.1,12,92.9,0,1040,,0.5,,0.64,2.5,23,60,Ambient,150,150,150,,50.32
,,M6,318.5,47.75,27.17,8.6,3.89,0.42,1.45,318.15,15.48,48.43,17.15,1.35,11.96,0.82,0,0,0,0,0,0,0,232.1,12,92.9,0,1040,,0.5,,0.64,2.5,23,60,Ambient,150,150,150,,61.91
https://doi.org/10.1016/j.conbuildmat.2013.09.048,Fresh and hardened properties of alkali-activated fly ash/slag pastes with superplasticizers,S0,0,56.1,21,17,,0.62,0.77,1176.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,54.1,14,196.1,0,0,338.1,0.5,0.28,0,2.16,20,,Ambient,50,50,50,,3
,,S30,362.7,56.1,21,17,,0.62,0.77,846.2,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,55.6,14,201.5,0,0,347.3,0.5,0.28,0,2.16,20,,Ambient,50,50,50,,38
,,S50,615.6,56.1,21,17,,0.62,0.77,615.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,56.6,14,205.2,0,0,353.8,0.5,0.28,0,2.16,20,,Ambient,50,50,50,34.8,32.8
,,S70,878.1,56.1,21,17,,0.62,0.77,376.3,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,57.7,14,209.1,0,0,360.5,0.5,0.28,0,2.16,20,,Ambient,50,50,50,,58
,,S100,1291.1,56.1,21,17,,0.62,0.77,0,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,59.4,14,215.2,0,0,371,0.5,0.28,0,2.16,20,,Ambient,50,50,50,,65
,,S50P1,615.6,56.1,21,17,,0.62,0.77,615.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,56.6,14,205.2,0,0,353.8,0.5,0.28,1,2.16,20,,Ambient,50,50,50,38,36
,,S50P2,615.6,56.1,21,17,,0.62,0.77,615.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,56.6,14,205.2,0,0,353.8,0.5,0.28,2,2.16,20,,Ambient,50,50,50,41.6,46.7
,,S50P3,615.6,56.1,21,17,,0.62,0.77,615.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,56.6,14,205.2,0,0,353.8,0.5,0.28,3,2.16,20,,Ambient,50,50,50,36,40
,,S50P4,615.6,56.1,21,17,,0.62,0.77,615.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,56.6,14,205.2,0,0,353.8,0.5,0.28,4,2.16,20,,Ambient,50,50,50,36,38
,,S50N1,615.6,56.1,21,17,,0.62,0.77,615.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,56.6,14,205.2,0,0,353.8,0.5,0.28,1,2.16,20,,Ambient,50,50,50,35,37
,,S50N2,615.6,56.1,21,17,,0.62,0.77,615.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,56.6,14,205.2,0,0,353.8,0.5,0.28,2,2.16,20,,Ambient,50,50,50,35,38
,,S50N3,615.6,56.1,21,17,,0.62,0.77,615.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,56.6,14,205.2,0,0,353.8,0.5,0.28,3,2.16,20,,Ambient,50,50,50,36,36
,,S50N4,615.6,56.1,21,17,,0.62,0.77,615.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,56.6,14,205.2,0,0,353.8,0.5,0.28,4,2.16,20,,Ambient,50,50,50,34,35
,,S0P4,0,56.1,21,17,,0.62,0.77,1176.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,54.1,14,196.1,0,0,338.1,0.5,0.28,4,2.16,20,,Ambient,50,50,50,33,3
,,S30P4,362.7,56.1,21,17,,0.62,0.77,846.2,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,55.6,14,201.5,0,0,347.3,0.5,0.28,4,2.16,20,,Ambient,50,50,50,,35
,,S70P4,878.1,56.1,21,17,,0.62,0.77,376.3,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,57.7,14,209.1,0,0,360.5,0.5,0.28,4,2.16,20,,Ambient,50,50,50,,55
,,S100P4,1291.1,56.1,21,17,,0.62,0.77,0,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,59.4,14,215.2,0,0,371,0.5,0.28,4,2.16,20,,Ambient,50,50,50,,60
,,S0N4,0,56.1,21,17,,0.62,0.77,1176.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,54.1,14,196.1,0,0,338.1,0.5,0.28,4,2.16,20,,Ambient,50,50,50,,3
,,S30N4,362.7,56.1,21,17,,0.62,0.77,846.2,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,55.6,14,201.5,0,0,347.3,0.5,0.28,4,2.16,20,,Ambient,50,50,50,,35
,,S70N4,878.1,56.1,21,17,,0.62,0.77,376.3,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,57.7,14,209.1,0,0,360.5,0.5,0.28,4,2.16,20,,Ambient,50,50,50,,55
,,S100N4,1291.1,56.1,21,17,,0.62,0.77,0,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,59.4,14,215.2,0,0,371,0.5,0.28,4,2.16,20,,Ambient,50,50,50,,60
,,S0P1,0,56.1,21,17,,0.62,0.77,1176.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,54.1,14,196.1,0,0,338.1,0.5,0.28,1,2.16,20,,Ambient,50,50,50,,3
,,S0P2,0,56.1,21,17,,0.62,0.77,1176.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,54.1,14,196.1,0,0,338.1,0.5,0.28,2,2.16,20,,Ambient,50,50,50,,3
,,S0P3,0,56.1,21,17,,0.62,0.77,1176.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,54.1,14,196.1,0,0,338.1,0.5,0.28,3,2.16,20,,Ambient,50,50,50,,35
,,S30P1,362.7,56.1,21,17,,0.62,0.77,846.2,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,55.6,14,201.5,0,0,347.3,0.5,0.28,1,2.16,20,,Ambient,50,50,50,,36
,,S30P2,362.7,56.1,21,17,,0.62,0.77,846.2,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,55.6,14,201.5,0,0,347.3,0.5,0.28,2,2.16,20,,Ambient,50,50,50,,36
,,S30P3,362.7,56.1,21,17,,0.62,0.77,846.2,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,55.6,14,201.5,0,0,347.3,0.5,0.28,3,2.16,20,,Ambient,50,50,50,,55
,,S70P1,878.1,56.1,21,17,,0.62,0.77,376.3,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,57.7,14,209.1,0,0,360.5,0.5,0.28,1,2.16,20,,Ambient,50,50,50,,55
,,S70P2,878.1,56.1,21,17,,0.62,0.77,376.3,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,57.7,14,209.1,0,0,360.5,0.5,0.28,2,2.16,20,,Ambient,50,50,50,,55
