GGBS_kg_m3,GGBS_CaO_%,GGBS_SiO2_%,GGBS_Al2O3_%,FlyAsh_kg_m3,FA_CaO_%,FA_SiO2_%,FA_Al2O3_%,SF_CaO_%,SF_SiO2_%,SF_Al2O3_%,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,Total Na2SiO3 (kg in 1m3 of mix),Coarse Aggregate (kg/m3),Fine Aggregates (kg/m3),Activator_Binder_Ratio,Water_Binder_Ratio,Superplasticizer_%,Relative Humidity,CS 7 day (Mpa),CS 28 day (Mpa),Total_Binders,Total_SiO2,Total_CaO,Total_Al2O3,SiO2 / Al2O3,CaO / Al2O3,CaO / SiO2
0.0,47.75,27.17,8.6,650.0,15.48,48.43,17.15,0.0,0.0,0.0,232.1,12.0,92.9,0.0,1040.0,0.5,0.3,0.64,60.0,34.0,29.0,650.0,48.43,15.48,17.15,2.823906705539359,2.823906705539359,0.3196365888911832
650.0,47.75,27.17,8.6,0.0,15.48,48.43,17.15,0.0,0.0,0.0,232.1,12.0,92.9,0.0,1040.0,0.5,0.3,0.64,60.0,34.0,40.0,650.0,27.17,47.75,8.6,3.159302325581396,3.159302325581396,1.7574530732425468
325.0,47.75,27.17,8.6,325.0,15.48,48.43,17.15,0.0,0.0,0.0,232.1,12.0,92.9,0.0,1040.0,0.5,0.3,0.64,60.0,34.0,45.0,650.0,37.8,31.615,12.875,2.935922330097087,2.935922330097087,0.8363756613756614
0.0,47.75,27.17,8.6,637.0,15.48,48.43,17.15,0.0,0.0,0.0,232.1,12.0,92.9,0.0,1040.0,0.5,0.3,0.64,60.0,34.0,48.0,637.0,48.43,15.48,17.15,2.823906705539359,2.823906705539359,0.3196365888911832
637.0,47.75,27.17,8.6,0.0,15.48,48.43,17.15,0.0,0.0,0.0,232.1,12.0,92.9,0.0,1040.0,0.5,0.3,0.64,60.0,34.0,50.32,637.0,27.17,47.75,8.6,3.159302325581396,3.159302325581396,1.7574530732425468
318.5,47.75,27.17,8.6,318.15,15.48,48.43,17.15,0.0,0.0,0.0,232.1,12.0,92.9,0.0,1040.0,0.5,0.3,0.64,60.0,34.0,61.91,636.65,37.794156129741616,31.62387025838373,12.872649807586585,2.936004373199632,2.936004373199632,0.8367396840353776
0.0,56.1,21.0,17.0,1176.6,2.6,46.0,33.0,0.0,0.0,0.0,54.1,14.0,196.1,0.0,0.0,0.5,0.28,0.0,65.0,34.0,3.0,1176.6,46.0,2.6,33.0,1.393939393939394,1.393939393939394,0.05652173913043478
362.7,56.1,21.0,17.0,846.2,2.6,46.0,33.0,0.0,0.0,0.0,55.6,14.0,201.5,0.0,0.0,0.5,0.28,0.0,65.0,34.0,38.0,1208.9,38.49937960129043,18.65132765323848,28.199602944825873,1.365245449612062,1.365245449612062,0.4844578755916711
615.6,56.1,21.0,17.0,615.6,2.6,46.0,33.0,0.0,0.0,0.0,56.6,14.0,205.2,0.0,0.0,0.5,0.28,0.0,65.0,34.8,32.8,1231.2,33.5,29.35,25.0,1.34,1.34,0.8761194029850746
878.1,56.1,21.0,17.0,376.3,2.6,46.0,33.0,0.0,0.0,0.0,57.7,14.0,209.1,0.0,0.0,0.5,0.28,0.0,65.0,34.0,58.0,1254.4,28.499601403061224,40.05085299744898,21.79974489795918,1.307336463635832,1.307336463635832,1.4053127421335443
1291.1,56.1,21.0,17.0,0.0,2.6,46.0,33.0,0.0,0.0,0.0,59.4,14.0,215.2,0.0,0.0,0.5,0.28,0.0,65.0,34.0,65.0,1291.1,21.0,56.099999999999994,17.0,1.2352941176470589,1.2352941176470589,2.6714285714285713
615.6,56.1,21.0,17.0,615.6,2.6,46.0,33.0,0.0,0.0,0.0,56.6,14.0,205.2,0.0,0.0,0.5,0.28,1.0,65.0,38.0,36.0,1231.2,33.5,29.35,25.0,1.34,1.34,0.8761194029850746
615.6,56.1,21.0,17.0,615.6,2.6,46.0,33.0,0.0,0.0,0.0,56.6,14.0,205.2,0.0,0.0,0.5,0.28,2.0,65.0,41.6,46.7,1231.2,33.5,29.35,25.0,1.34,1.34,0.8761194029850746
615.6,56.1,21.0,17.0,615.6,2.6,46.0,33.0,0.0,0.0,0.0,56.6,14.0,205.2,0.0,0.0,0.5,0.28,3.0,65.0,36.0,40.0,1231.2,33.5,29.35,25.0,1.34,1.34,0.8761194029850746
615.6,56.1,21.0,17.0,615.6,2.6,46.0,33.0,0.0,0.0,0.0,56.6,14.0,205.2,0.0,0.0,0.5,0.28,4.0,65.0,36.0,38.0,1231.2,33.5,29.35,25.0,1.34,1.34,0.8761194029850746
615.6,56.1,21.0,17.0,615.6,2.6,46.0,33.0,0.0,0.0,0.0,56.6,14.0,205.2,0.0,0.0,0.5,0.28,1.0,65.0,35.0,37.0,1231.2,33.5,29.35,25.0,1.34,1.34,0.8761194029850746
615.6,56.1,21.0,17.0,615.6,2.6,46.0,33.0,0.0,0.0,0.0,56.6,14.0,205.2,0.0,0.0,0.5,0.28,2.0,65.0,35.0,38.0,1231.2,33.5,29.35,25.0,1.34,1.34,0.8761194029850746
615.6,56.1,21.0,17.0,615.6,2.6,46.0,33.0,0.0,0.0,0.0,56.6,14.0,205.2,0.0,0.0,0.5,0.28,3.0,65.0,36.0,36.0,1231.2,33.5,29.35,25.0,1.34,1.34,0.8761194029850746
615.6,56.1,21.0,17.0,615.6,2.6,46.0,33.0,0.0,0.0,0.0,56.6,14.0,205.2,0.0,0.0,0.5,0.28,4.0,65.0,34.0,35.0,1231.2,33.5,29.35,25.0,1.34,1.34,0.8761194029850746
0.0,56.1,21.0,17.0,1176.6,2.6,46.0,33.0,0.0,0.0,0.0,54.1,14.0,196.1,0.0,0.0,0.5,0.28,4.0,65.0,33.0,3.0,1176.6,46.0,2.6,33.0,1.393939393939394,1.393939393939394,0.05652173913043478
362.7,56.1,21.0,17.0,846.2,2.6,46.0,33.0,0.0,0.0,0.0,55.6,14.0,201.5,0.0,0.0,0.5,0.28,4.0,65.0,34.0,35.0,1208.9,38.49937960129043,18.65132765323848,28.199602944825873,1.365245449612062,1.365245449612062,0.4844578755916711
878.1,56.1,21.0,17.0,376.3,2.6,46.0,33.0,0.0,0.0,0.0,57.7,14.0,209.1,0.0,0.0,0.5,0.28,4.0,65.0,34.0,55.0,1254.4,28.499601403061224,40.05085299744898,21.79974489795918,1.307336463635832,1.307336463635832,1.4053127421335443
1291.1,56.1,21.0,17.0,0.0,2.6,46.0,33.0,0.0,0.0,0.0,59.4,14.0,215.2,0.0,0.0,0.5,0.28,4.0,65.0,34.0,60.0,1291.1,21.0,56.099999999999994,17.0,1.2352941176470589,1.2352941176470589,2.6714285714285713
0.0,56.1,21.0,17.0,1176.6,2.6,46.0,33.0,0.0,0.0,0.0,54.1,14.0,196.1,0.0,0.0,0.5,0.28,4.0,65.0,34.0,3.0,1176.6,46.0,2.6,33.0,1.393939393939394,1.393939393939394,0.05652173913043478
362.7,56.1,21.0,17.0,846.2,2.6,46.0,33.0,0.0,0.0,0.0,55.6,14.0,201.5,0.0,0.0,0.5,0.28,4.0,65.0,34.0,35.0,1208.9,38.49937960129043,18.65132765323848,28.199602944825873,1.365245449612062,1.365245449612062,0.4844578755916711
878.1,56.1,21.0,17.0,376.3,2.6,46.0,33.0,0.0,0.0,0.0,57.7,14.0,209.1,0.0,0.0,0.5,0.28,4.0,65.0,34.0,55.0,1254.4,28.499601403061224,40.05085299744898,21.79974489795918,1.307336463635832,1.307336463635832,1.4053127421335443
1291.1,56.1,21.0,17.0,0.0,2.6,46.0,33.0,0.0,0.0,0.0,59.4,14.0,215.2,0.0,0.0,0.5,0.28,4.0,65.0,34.0,60.0,1291.1,21.0,56.099999999999994,17.0,1.2352941176470589,1.2352941176470589,2.6714285714285713
0.0,56.1,21.0,17.0,1176.6,2.6,46.0,33.0,0.0,0.0,0.0,54.1,14.0,196.1,0.0,0.0,0.5,0.28,1.0,65.0,34.0,3.0,1176.6,46.0,2.6,33.0,1.393939393939394,1.393939393939394,0.05652173913043478
