,min,max,mean,std
GGBS_kg_m3,0.0,1377.0,289.737797752809,272.8746932467512
GGBS_CaO_%,0.0,59.41,36.6314606741573,15.606795510445727
GGBS_SiO2_%,0.0,41.36,27.631662921348315,11.573860709934648
GGBS_Al2O3_%,0.0,21.7,13.183033707865171,6.024720472094887
FlyAsh_kg_m3,0.0,1600.0,247.40964044943823,271.5724957843432
FA_CaO_%,0.0,21.93,3.1252,4.314890591662553
FA_SiO2_%,0.0,62.55,48.46698426966293,17.46051480857259
FA_Al2O3_%,0.0,36.07,24.990058426966293,9.495844021531909
SF_CaO_%,0.0,1.84,0.21191460674157303,0.376166039253897
SF_SiO2_%,0.0,96.65,35.930966292134826,45.421668433175874
SF_Al2O3_%,0.0,1.89,0.312876404494382,0.5065670499856729
Total NaOH (kg in 1m3 mix),0.0,800.0,59.42251685393258,68.55925224523642
Concentration (M) NaOH,3.5,18.0,10.37752808988764,2.720283868707239
Total Na2SiO3 (kg in 1m3 of mix),0.0,800.0,147.4109438202247,110.86811868002331
Coarse Aggregate (kg/m3),0.0,1276.0,715.9046741573034,520.2439024679963
Fine Aggregates (kg/m3),0.0,2400.0,675.0768764044944,413.2850942897263
Activator_Binder_Ratio,0.1,0.8,0.47275955056179775,0.10585162222528986
Water_Binder_Ratio,0.0,0.53,0.2867056179775281,0.1347405451057486
Superplasticizer_%,0.0,14.5,1.1148988764044945,1.7854193746441172
Relative Humidity,45.0,90.0,65.71910112359551,6.831281988369082
CS 7 day (Mpa),0.0,144.4,37.26123595505618,20.048387795498776
CS 28 day (Mpa),0.0,173.0,57.51402247191012,36.062339502657046
Total_Binders,0.0,1600.0,566.899617977528,321.73922887196085
Total_SiO2,21.0,96.2,44.132598925103416,9.91479193305717
Total_CaO,0.013,59.41,22.333496553773262,12.241442316492058
Total_Al2O3,0.91,34.75,19.70621046605801,5.96772294855297
SiO2 / Al2O3,1.2352941176470589,105.71428571428572,2.797416818309127,5.456097786914865
CaO / Al2O3,1.2352941176470589,105.71428571428572,2.797416818309127,5.456097786914865
CaO / SiO2,0.0001351351351351,2.6714285714285717,0.5936466547508774,0.4640341101951117
